elapsed_s,total_listeners,sfu_cpu_m,sfu_mem_mi,restarts,panics
0,0,1,393,0,0
0
15,500,1,393,0,0
0
30,500,22,401,0,0
0
45,500,715,399,0,0
0
61,500,42,396,0,0
0
76,500,43,396,0,0
0
91,500,42,396,0,0
0
106,500,45,396,0,0
0
122,500,44,395,0,0
0
137,500,44,396,0,0
0
152,500,47,396,0,0
0
167,500,46,396,0,0
0
183,500,49,395,0,0
0
